Chip,Cravaack,R,MN,8
Rick,Crawford,R,AR,1
Jeff,Denham,R,CA,19
Scott,DesJarlais,R,TN,4
Bob,Dold,R,IL,10
Sean,Duffy,R,WI,7
Jeff,Duncan,R,SC,3
Renee,Ellmers,R,NC,2
Blake,Farenthold,R,TX,27
Stephen,Fincher,R,TN,8
Chuck,Fleischmann,R,TN,3
Bill,Flores,R,TX,17
Cory,Gardner,R,CO,4
Bob,Gibbs,R,OH,18
Chris,Gibson,R,NY,20
Paul,Gosar,R,AZ,1
Trey,Gowdy,R,SC,4
Tim,Griffin,R,AR,2
Morgan,Griffith,R,VA,9
Michael,Grimm,R,NY,13
Frank,Guinta,R,NH,1
Colleen,Hanabusa,D,HI,1
Richard,Hanna,R,NY,24
Andy,Harris,R,MD,1
Vicky,Hartzler,R,MO,4
Nan,Hayworth,R,NY,19
Joe,Heck,R,NV,3
Jaime,Herrera,R,WA,3
Tim,Huelskamp,R,KS,1
Bill,Huizenga,R,MI,2
Randy,Hultgren,R,IL,14
Robert,Hurt,R,VA,5
Bill,Johnson,R,OH,6
Bill,Keating,D,MA,10
Mike,Kelly,R,PA,3
Adam,Kinzinger,R,IL,11
Raœl,Labrador,R,ID,1
Jeff,Landry,R,LA,3
James,Lankford,R,OK,5
Billy,Long,R,MO,7
David,McKinley,R,WV,1
Tom,Marino,R,PA,10
Pat,Meehan,R,PA,7
Mick,Mulvaney,R,SC,5
Kristi,Noem,R,SD,
Rich,Nugent,R,FL,5
Alan,Nunnelee,R,MS,1
Steven,Palazzo,R,MS,4
Mike,Pompeo,R,KS,4
Ben,Quayle,R,AZ,3
Jim,Renacci,R,OH,16
Reid,Ribble,R,WI,8
Cedric,Richmond,D,LA,2
Scott,Rigell,R,VA,2
David,Rivera,R,FL,25
Martha,Roby,R,AL,2
Todd,Rokita,R,IN,4
Dennis,Ross,R,FL,12
Jon,Runyan,R,NJ,3
Bobby,Schilling,R,IL,17
David,Schweikert,R,AZ,5
Austin,Scott,R,GA,8
Tim,Scott,R,SC,1
Terri,Sewell,D,AL,7
Steve,Southerland,R,FL,2
Steve,Stivers,R,OH,15
Scott,Tipton,R,CO,3
Joe,Walsh,R,IL,8
Daniel,Webster,R,FL,8
Allen,West,R,FL,22
Frederica,Wilson,D,FL,17
Steve,Womack,R,AR,3
Rob,Woodall,R,GA,7
Kevin,Yoder,R,KS,3
Todd,Young,R,IN,9
Kathy,Hochul,D,NY,26
Janice,Hahn,D,CA,36
Mark,Amodei,R,NV,2
Bob,Turner,R,NY,9
Suzanne,Bonamici,D,OR,1
Ron,Barber,D,AZ,8
